code;unemployment rate
Cravent (78188);10,1
Crespières (78189);7,0
Croissy-sur-Seine (78190);6,9
Dammartin-en-Serve (78192);7,6
Dampierre-en-Yvelines (78193);8,1
Dannemarie (78194);9,9
Davron (78196);10,1
Drocourt (78202);7,6
Ecquevilly (78206);9,6
Élancourt (78208);10,3
Émancé (78209);8,5
Épône (78217);10,7
Essarts-le-Roi (78220);8,3
Étang-la-Ville (78224);6,3
Évecquemont (78227);9,6
Falaise (78230);8,3
Favrieux (78231);9,1
Feucherolles (78233);9,1
Flacourt (78234);6,9
Flexanville (78236);8,3
Flins-Neuve-Église (78237);9,3
Flins-sur-Seine (78238);7,9
Follainville-Dennemont (78239);8,4
Fontenay-le-Fleury (78242);10,9
Fontenay-Mauvoisin (78245);6,2
Fontenay-Saint-Père (78246);8,3
Fourqueux (78251);9,3
Freneuse (78255);13,1
Gaillon-sur-Montcient (78261);8,7
Galluis (78262);4,6
Gambais (78263);7,3
Gambaiseuil (78264);4,2
Garancières (78265);6,0
Gargenville (78267);10,0
Gazeran (78269);7,4
Gommecourt (78276);10,9
Goupillières (78278);7,5
Goussonville (78281);6,6
Grandchamp (78283);8,0
Gressey (78285);5,1
Grosrouvre (78289);7,8
Guernes (78290);9,0
Guerville (78291);5,7
Guitrancourt (78296);7,9
Guyancourt (78297);9,9
Hardricourt (78299);8,9
Hargeville (78300);5,9
Hauteville (78302);5,1
Herbeville (78305);9,3
Hermeray (78307);4,8
Houdan (78310);11,5
Houilles (78311);9,2
Issou (78314);9,0
Jambville (78317);7,0
Jeufosse (78320);13,8
Jouars-Pontchartrain (78321);7,0
Jouy-en-Josas (78322);9,3
Jouy-Mauvoisin (78324);11,6
Jumeauville (78325);5,5
Juziers (78327);10,7
Lainville-en-Vexin (78329);6,7
Lévis-Saint-Nom (78334);6,1
Limay (78335);17,3
Limetz-Villez (78337);7,0
Loges-en-Josas (78343);6,3
Lommoye (78344);7,2
Longnes (78346);8,1
Longvilliers (78349);6,5
Louveciennes (78350);9,2
Magnanville (78354);10,8
Magny-les-Hameaux (78356);9,4
Maisons-Laffitte (78358);7,5
Mantes-la-Jolie (78361);22,3
Mantes-la-Ville (78362);17,2
Marcq (78364);5,4
Mareil-le-Guyon (78366);6,0
Mareil-Marly (78367);6,1
Mareil-sur-Mauldre (78368);6,8
Marly-le-Roi (78372);8,2
Maule (78380);10,1
Maulette (78381);5,9
Maurecourt (78382);8,7
Maurepas (78383);8,8
Médan (78384);7,4
Ménerville (78385);8,3
Méré (78389);7,8
Méricourt (78391);10,6
Mesnil-le-Roi (78396);9,0
Mesnil-Saint-Denis (78397);6,6
Mesnuls (78398);8,8
Meulan-en-Yvelines (78401);12,9
Mézières-sur-Seine (78402);8,6
Mézy-sur-Seine (78403);9,7
Millemont (78404);9,8
Milon-la-Chapelle (78406);5,8
Mittainville (78407);6,2
Moisson (78410);11,0
Mondreville (78413);7,9
Montainville (78415);7,5
Montalet-le-Bois (78416);5,6
Montchauvet (78417);9,2
Montesson (78418);8,7
